Array Size: 10, Execution Time: 0.0000022000 seconds
Array Size: 20, Execution Time: 0.0000028000 seconds
Array Size: 30, Execution Time: 0.0000030000 seconds
Array Size: 40, Execution Time: 0.0000033000 seconds
Array Size: 50, Execution Time: 0.0000046000 seconds
Array Size: 100, Execution Time: 0.0000037000 seconds
Array Size: 150, Execution Time: 0.0000075000 seconds
Array Size: 200, Execution Time: 0.0000108000 seconds
Array Size: 250, Execution Time: 0.0000067000 seconds
Array Size: 300, Execution Time: 0.0000105000 seconds
Array Size: 350, Execution Time: 0.0000070000 seconds
Array Size: 400, Execution Time: 0.0000101000 seconds
Array Size: 450, Execution Time: 0.0000038000 seconds
Array Size: 500, Execution Time: 0.0000278000 seconds
Array Size: 600, Execution Time: 0.0000248000 seconds
Array Size: 700, Execution Time: 0.0000259000 seconds
Array Size: 800, Execution Time: 0.0000121000 seconds
Array Size: 900, Execution Time: 0.0000414000 seconds
Array Size: 1000, Execution Time: 0.0000318000 seconds
Array Size: 1250, Execution Time: 0.0000045000 seconds
Array Size: 1500, Execution Time: 0.0000038000 seconds
Array Size: 1750, Execution Time: 0.0000205000 seconds
Array Size: 2000, Execution Time: 0.0001548000 seconds
Array Size: 2500, Execution Time: 0.0000505000 seconds
Array Size: 3000, Execution Time: 0.0000689000 seconds
Array Size: 4000, Execution Time: 0.0000045000 seconds
Array Size: 5000, Execution Time: 0.0000196000 seconds
Array Size: 7500, Execution Time: 0.0000144000 seconds
Array Size: 10000, Execution Time: 0.0000252000 seconds
