Array Size: 10, Execution Time: 0.0000025000 seconds
Array Size: 20, Execution Time: 0.0000025000 seconds
Array Size: 30, Execution Time: 0.0000024000 seconds
Array Size: 40, Execution Time: 0.0000027000 seconds
Array Size: 50, Execution Time: 0.0000035000 seconds
Array Size: 100, Execution Time: 0.0000024000 seconds
Array Size: 150, Execution Time: 0.0000026000 seconds
Array Size: 200, Execution Time: 0.0000029000 seconds
Array Size: 250, Execution Time: 0.0000024000 seconds
Array Size: 300, Execution Time: 0.0000026000 seconds
Array Size: 350, Execution Time: 0.0000044000 seconds
Array Size: 400, Execution Time: 0.0000025000 seconds
Array Size: 450, Execution Time: 0.0000025000 seconds
Array Size: 500, Execution Time: 0.0000030000 seconds
Array Size: 600, Execution Time: 0.0000026000 seconds
Array Size: 700, Execution Time: 0.0000030000 seconds
Array Size: 800, Execution Time: 0.0000025000 seconds
Array Size: 900, Execution Time: 0.0000025000 seconds
Array Size: 1000, Execution Time: 0.0000028000 seconds
Array Size: 1250, Execution Time: 0.0000025000 seconds
Array Size: 1500, Execution Time: 0.0000026000 seconds
Array Size: 1750, Execution Time: 0.0000030000 seconds
Array Size: 2000, Execution Time: 0.0000030000 seconds
Array Size: 2500, Execution Time: 0.0000037000 seconds
Array Size: 3000, Execution Time: 0.0000030000 seconds
Array Size: 4000, Execution Time: 0.0000029000 seconds
Array Size: 5000, Execution Time: 0.0000033000 seconds
Array Size: 7500, Execution Time: 0.0000029000 seconds
Array Size: 10000, Execution Time: 0.0000029000 seconds
