Array Size: 10, Execution Time: 0.0000030000 seconds
Array Size: 20, Execution Time: 0.0000034000 seconds
Array Size: 30, Execution Time: 0.0000043000 seconds
Array Size: 40, Execution Time: 0.0000045000 seconds
Array Size: 50, Execution Time: 0.0000051000 seconds
Array Size: 100, Execution Time: 0.0000070000 seconds
Array Size: 150, Execution Time: 0.0000058000 seconds
Array Size: 200, Execution Time: 0.0000116000 seconds
Array Size: 250, Execution Time: 0.0000069000 seconds
Array Size: 300, Execution Time: 0.0000047000 seconds
Array Size: 350, Execution Time: 0.0000310000 seconds
Array Size: 400, Execution Time: 0.0000194000 seconds
Array Size: 450, Execution Time: 0.0000243000 seconds
Array Size: 500, Execution Time: 0.0000036000 seconds
Array Size: 600, Execution Time: 0.0000313000 seconds
Array Size: 700, Execution Time: 0.0000340000 seconds
Array Size: 800, Execution Time: 0.0000632000 seconds
Array Size: 900, Execution Time: 0.0000286000 seconds
Array Size: 1000, Execution Time: 0.0000386000 seconds
Array Size: 1250, Execution Time: 0.0000174000 seconds
Array Size: 1500, Execution Time: 0.0000514000 seconds
Array Size: 1750, Execution Time: 0.0000312000 seconds
Array Size: 2000, Execution Time: 0.0000594000 seconds
Array Size: 2500, Execution Time: 0.0000449000 seconds
Array Size: 3000, Execution Time: 0.0000298000 seconds
Array Size: 4000, Execution Time: 0.0000208000 seconds
Array Size: 5000, Execution Time: 0.0000228000 seconds
Array Size: 7500, Execution Time: 0.0000774000 seconds
Array Size: 10000, Execution Time: 0.0001404000 seconds
